id,event_date,event_name,category,place,location,point,start,end,start_mo,start_year,end_mo,end_year,lon,lat
703,2019-04-05,Towarzystwo Pana Brzechwy,Spektakle teatralne, ul. Skarbowa 2 Krakow,"Teatr Groteska, 2, Skarbowa, Piasek, Stare Miasto, Kraków, małopolskie, 31-121, RP","[50.0631883, 19.9265845]",2019/04/05,,4,2019,,,50.0631883,19.9265845
704,2019-04-05,Koncerty dla dzieci w Filharmonii – Muzyka w kolorach...,Inne koncerty, ul. Zwierzyniecka 1 Krakow,"Filharmonia Krakowska imienia Karola Szymanowskiego, 1, Zwierzyniecka, Nowy Świat, Stare Miasto, Kraków, małopolskie, 31-103, RP","[50.05885215, 19.9327404472737]",2019/04/05,,4,2019,,,50.05885215,19.9327404472737
705,2019-04-05,Recital organowy Markusa Eichenlauba,Muzyka klasyczna, pl. Świętego Ducha Krakow,"Plac Świętego Ducha, Stare Miasto, Kraków, małopolskie, 31-023, RP","[50.0635493, 19.9424188]",2019/04/05,,4,2019,,,50.0635493,19.9424188
706,2019-04-05,Zmowa milczenia,Spektakle teatralne,"Teatr Ludowy, os. Teatralne 34","Teatr Ludowy, Teatralne, Nowa Huta, Kraków, małopolskie, RP","[50.0812597, 20.03340205]",2019/04/05,,4,2019,,,50.0812597,20.03340205
708,2019-04-05,Coals: Klan,Muzyka rozrywkowa,"Alchemia, ul. Estery 5","Alchemia, 5, Estery, Kazimierz, Stare Miasto, Kraków, małopolskie, 31-056, RP","[50.0521471, 19.9449342]",2019/04/05,,4,2019,,,50.0521471,19.9449342
709,2019-04-05,O!pla projekcja filmów ogólnopolskiego festiwalu filmów animowanych,Festiwale i przeglądy filmowe, ul. Kamedulska 70 Krakow,"70, Kamedulska, Przegorzały, Zwierzyniec, Kraków, małopolskie, 30-251, RP","[50.0482033, 19.8738233858762]",2019/04/05,,4,2019,,,50.0482033,19.8738233858762
710,2019-04-05,Alidada w ArtCafe Barakah,Muzyka rozrywkowa,"ArtCafe Barakah, Paulińska 28","ArtCafe Barakah, Paulińska, Kazimierz, Stare Miasto, Kraków, małopolskie, 31-065, RP","[50.0501594, 19.9405447]",2019/04/05,,4,2019,,,50.0501594,19.9405447
711,2019-04-07,Coma w Studio,Muzyka rozrywkowa,"Klub Studio, ul. Budryka 4","Klub Studio, 4, Witolda Budryka, Miasteczko Studenckie AGH, Krowodrza, Kraków, małopolskie, 30-071, RP","[50.0680241, 19.9082544]",2019/04/07,,4,2019,,,50.0680241,19.9082544
712,2019-04-05,Kwiat Jabłoni: Niemożliwa trasa,Muzyka rozrywkowa,"Klub Studio, ul. Budryka 4","Klub Studio, 4, Witolda Budryka, Miasteczko Studenckie AGH, Krowodrza, Kraków, małopolskie, 30-071, RP","[50.0680241, 19.9082544]",2019/04/05,,4,2019,,,50.0680241,19.9082544
713,2019-04-07,Transmisje z Teatru Bolszoj w Multikinie,Cykle filmowe,"Multikino, ul. Dobrego Pasterza 128","Multikino, 128, Dobrego Pasterza, Czyżyny, Kraków, małopolskie, 31-479, RP","[50.08915485, 19.9848524156032]",2019/04/07,,4,2019,,,50.08915485,19.9848524156032
