current_density,frequencies,amplitudes
3000000000.0,1042857887.755634,1658.537328647858
3000000000.0,1050000750.0005355,1647.2785968584762
3000000000.0,1057143612.2454371,1636.1715331591533
3000000000.0,1064286474.4903387,1625.21309658387
3000000000.0,1071429336.7352403,1614.400326621397
3000000000.0,1078572198.9801419,1603.730340947781
3000000000.0,1085715061.2250435,1593.200332622508
3000000000.0,1092857923.4699452,1582.8075677586912
3000000000.0,1100000785.7148468,1572.5493831370115
3000000000.0,1107143647.9597483,1562.4231839329138
3000000000.0,1114286510.20465,1552.426441521155
3000000000.0,1121429372.4495516,1542.5566914593646
3000000000.0,1128572234.6944532,1532.8115313045698
3000000000.0,1135715096.9393547,1523.188618914816
3000000000.0,1142857959.1842563,1513.6856702910347
3000000000.0,1150000821.429158,1504.3004580590307
3000000000.0,1157143683.6740596,1495.0308094991826
3000000000.0,1164286545.918961,1485.8746050484403
3000000000.0,1171429408.1638627,1476.8297765733619
3000000000.0,1178572270.4087644,1467.8943059013666
3000000000.0,1185715132.653666,1459.066223250212
3000000000.0,1192857994.8985677,1450.343605866336
3000000000.0,1200000857.143469,1441.7245765435127
3000000000.0,1207143719.3883708,1433.2073023629016
3000000000.0,1214286581.6332724,1424.7899933538738
3000000000.0,1221429443.878174,1416.4709012189683
3000000000.0,1228572306.1230755,1408.2483182372323
3000000000.0,1235715168.3679771,1400.120575908787
3000000000.0,1242858030.6128788,1392.0860440724223
3000000000.0,1250000892.8577805,1384.1431295661248
3000000000.0,1257143755.1026819,1376.2902753986584
3000000000.0,1264286617.3475835,1368.5259595735274
3000000000.0,1271429479.5924852,1360.8486941967653
3000000000.0,1278572341.8373868,1353.2570245154293
3000000000.0,1285715204.0822885,1345.749527949305
3000000000.0,1292858066.32719,1338.3248133065235
3000000000.0,1300000928.5720916,1330.9815197879
3000000000.0,1307143790.8169932,1323.7183163320656
3000000000.0,1314286653.061895,1316.5339005985613
3000000000.0,1321429515.3067963,1309.4269984445716
3000000000.0,1328572377.551698,1302.3963628976344
3000000000.0,1335715239.7965996,1295.4407736990943
3000000000.0,1342858102.0415013,1288.5590363740387
3000000000.0,1350000964.2864027,1281.7499816859854
3000000000.0,1357143826.5313044,1275.0124649641973
3000000000.0,1364286688.776206,1268.3453653346487
3000000000.0,1371429551.0211077,1261.7475853624667
3000000000.0,1378572413.2660093,1255.2180500870697
3000000000.0,1385715275.5109107,1248.75570685927
3000000000.0,1392858137.7558124,1242.3595243528173
3000000000.0,1400001000.000714,1236.028492399853
3000000000.0,1407143862.2456157,1229.7616211497054
3000000000.0,1414286724.4905171,1223.5579407868445
3000000000.0,1421429586.7354188,1217.416500856723
3000000000.0,1428572448.9803205,1211.3363699283595
3000000000.0,1435715311.225222,1205.3166349842556
3000000000.0,1442858173.4701235,1199.3564011110927
3000000000.0,1450001035.7150252,1193.45479089905
3000000000.0,1457143897.9599268,1187.610944174588
3000000000.0,1464286760.2048285,1181.8240174313187
3000000000.0,1471429622.4497302,1176.0931835557383
3000000000.0,1478572484.6946316,1170.4176313261285
3000000000.0,1485715346.9395332,1164.7965651222526
3000000000.0,1492858209.184435,1159.229204471825
3000000000.0,1500001071.4293365,1153.7147837675786
3000000000.0,1507143933.674238,1148.2525518388868
3000000000.0,1514286795.9191396,1142.8417716926601
3000000000.0,1521429658.1640413,1137.4817201081732
3000000000.0,1528572520.408943,1132.1716873693563
3000000000.0,1535715382.6538444,1126.9109769153054
3000000000.0,1542858244.898746,1121.6989050771144
3000000000.0,1550001107.1436477,1116.5348007106038
3000000000.0,1557143969.3885493,1111.418005039896
3000000000.0,1564286831.633451,1106.347871163751
3000000000.0,1571429693.8783524,1101.3237640890823
3000000000.0,1578572556.123254,1096.345060076455
3000000000.0,1585715418.3681557,1091.4111468334079
3000000000.0,1592858280.6130574,1086.5214227910824
3000000000.0,1600001142.8579588,1081.6752973080772
3000000000.0,1607144005.1028605,1076.872190052721
3000000000.0,1614286867.347762,1072.1115310554649
3000000000.0,1621429729.5926638,1067.3927603042625
3000000000.0,1628572591.8375652,1062.7153276146141
3000000000.0,1635715454.0824668,1058.078692393429
3000000000.0,1642858316.3273685,1053.4823234079981
3000000000.0,1650001178.5722702,1048.9256986397058
3000000000.0,1657144040.8171718,1044.4083050057486
3000000000.0,1664286903.0620732,1039.929638266139
3000000000.0,1671429765.306975,1035.4892027213343
3000000000.0,1678572627.5518765,1031.086511156643
3000000000.0,1685715489.7967782,1026.7210845386426
3000000000.0,1692858352.0416796,1022.3924519484135
3000000000.0,1700001214.2865813,1018.1001503365807
3000000000.0,1707144076.531483,1013.843724396684
3000000000.0,1714286938.7763846,1009.6227264104429
3000000000.0,1721429801.021286,1005.4367160397964
3000000000.0,1728572663.2661877,1001.2852602582938
3000000000.0,1735715525.5110893,997.1679331039477
3000000000.0,1742858387.755991,993.0843156335484
3000000000.0,1750001250.0008926,989.0339956799587
3000000000.0,1757144112.245794,985.0165678215203
3000000000.0,1764286974.4906957,981.0316331197872
3000000000.0,1771429836.7355974,977.0787991509028
3000000000.0,1778572698.980499,973.15767966653
3000000000.0,1785715561.2254004,969.2678947249475
