,x,y,label,href,title,author
858,-0.3380824,-1.7474576,"['1896', 'portrait', 'Art Nouveau (Modern)', 'Private Collection', 'fictional-characters']",./artworks/images/Count Valmont_Beardsley Aubrey.jpg,Count Valmont,Beardsley Aubrey
859,-0.4058948,-1.7588539,"['1896', 'design', 'Art Nouveau (Modern)', 'Private Collection', ['fictional-characters', ' Pierrot'], ['fictional-characters', ' Pierrot']]",./artworks/images/Design for end paper of 'Pierrot'_Beardsley Aubrey.jpg,Design for end paper of 'Pierrot',Beardsley Aubrey
860,-0.30962723,-1.7732593,"['1896', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['fictional-characters', ' Don-Juan'], ['fictional-characters', ' Don-Juan']]","./artworks/images/Don Juan, Sganarelle and the Beggar_Beardsley Aubrey.jpg","Don Juan, Sganarelle and the Beggar",Beardsley Aubrey
861,-0.2907929,-1.786274,"['1896', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['male-portraits', ' fictional-characters'], ['male-portraits', ' fictional-characters']]",./artworks/images/Et in Arcadio Ego_Beardsley Aubrey.jpg,Et in Arcadio Ego,Beardsley Aubrey
862,-0.8845657,-1.6941749,"['1896', 'design', 'Art Nouveau (Modern)', 'designs-and-sketches']",./artworks/images/Front Cover_Beardsley Aubrey.jpg,Front Cover,Beardsley Aubrey
863,-0.22292568,-1.7381804,"['1896', 'illustration', 'Art Nouveau (Modern)', 'fictional-characters']",./artworks/images/Lysistrata Defending the Acropolis_Beardsley Aubrey.jpg,Lysistrata Defending the Acropolis,Beardsley Aubrey
864,-0.22292516,-1.7381755,"['1896', 'illustration', 'Art Nouveau (Modern)', 'fictional-characters']",./artworks/images/Lysistrata Shielding Her Coynte_Beardsley Aubrey.jpg,Lysistrata Shielding Her Coynte,Beardsley Aubrey
865,0.005541005,-1.3568949,"['1896', 'genre painting', 'Art Nouveau (Modern)', ['male-portraits', ' female-portraits'], ['male-portraits', ' female-portraits']]",./artworks/images/The Battle of the Beaux and the Belles_Beardsley Aubrey.jpg,The Battle of the Beaux and the Belles,Beardsley Aubrey
866,-0.2861817,-1.7617733,"['1896', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', 'fictional-characters']",./artworks/images/The Coiffing_Beardsley Aubrey.jpg,The Coiffing,Beardsley Aubrey
867,-0.2871856,-1.7179035,"['1896', 'illustration', 'Art Nouveau (Modern)', 'Private Collection']",./artworks/images/The Examination of the Herald_Beardsley Aubrey.jpg,The Examination of the Herald,Beardsley Aubrey
868,-0.22285275,-1.738173,"['1896', 'illustration', 'Art Nouveau (Modern)', 'fictional-characters']",./artworks/images/The Lacedaemonian Ambassadors_Beardsley Aubrey.jpg,The Lacedaemonian Ambassadors,Beardsley Aubrey
869,-0.19311267,-1.693366,"['1896', 'illustration', 'Art Nouveau (Modern)']",./artworks/images/The Toilet of Lampito_Beardsley Aubrey.jpg,The Toilet of Lampito,Beardsley Aubrey
870,-0.28618485,-1.7617459,"['1896', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', 'fictional-characters']",./artworks/images/Third tableau_Beardsley Aubrey.jpg,Third tableau,Beardsley Aubrey
871,-0.2861715,-1.7617619,"['1896', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', 'fictional-characters']",./artworks/images/Title page_Beardsley Aubrey.jpg,Title page,Beardsley Aubrey
872,0.006072229,-1.331639,"['1896', 'genre painting', 'Art Nouveau (Modern)', 'male-portraits']",./artworks/images/Atalanta in Calydon with the Hound_Beardsley Aubrey.jpg,Atalanta in Calydon with the Hound,Beardsley Aubrey
873,0.17267054,-1.5153306,"['1896', 'genre painting', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['birds', ' female-nude', ' swans'], ['birds', ' female-nude', ' swans'], ['birds', ' female-nude', ' swans']]",./artworks/images/Bathyllus in the Swan Dance_Beardsley Aubrey.jpg,Bathyllus in the Swan Dance,Beardsley Aubrey
874,0.16564865,-1.5214605,"['1896', 'genre painting', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], 'female-nude']",./artworks/images/Bathyllus taking the pose_Beardsley Aubrey.jpg,Bathyllus taking the pose,Beardsley Aubrey
875,0.22185595,-1.8629644,"['1896', 'caricature', 'Art Nouveau (Modern)', ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], ['Fogg Museum (Harvard Art Museums)', ' Cambridge', ' MA', ' US'], 'male-portraits']",./artworks/images/Caricature of Felix Mendelssohn_Beardsley Aubrey.jpg,Caricature of Felix Mendelssohn,Beardsley Aubrey
876,0.16565835,-1.5215391,"['1896', 'genre painting', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], 'female-nude']",./artworks/images/Cinesias Entreating Myrrhina to Coition_Beardsley Aubrey.jpg,Cinesias Entreating Myrrhina to Coition,Beardsley Aubrey
877,-0.005874779,-1.3918555,"['1896', 'genre painting', 'Art Nouveau (Modern)', 'female-portraits']",./artworks/images/Coiffing_Beardsley Aubrey.jpg,Coiffing,Beardsley Aubrey
878,-0.22285262,-1.7381722,"['1896', 'illustration', 'Art Nouveau (Modern)', 'fictional-characters']",./artworks/images/Das Rheingold_Beardsley Aubrey.jpg,Das Rheingold,Beardsley Aubrey
879,-0.9029454,-1.7442509,"['1896', 'design', 'Art Nouveau (Modern)', 'Private Collection', ['female-portraits', ' designs-and-sketches'], ['female-portraits', ' designs-and-sketches']]",./artworks/images/Design for the cover of 'The Barbarous Britishers' by H.D. Traill_Beardsley Aubrey.jpg,Design for the cover of 'The Barbarous Britishers' by H.D. Traill,Beardsley Aubrey
880,-0.91422534,-1.7453798,"['1896', 'design', 'Art Nouveau (Modern)', 'Private Collection', ['male-portraits', ' designs-and-sketches'], ['male-portraits', ' designs-and-sketches']]",./artworks/images/Design for the front cover of 'The Savoy: Complete in Three Volumes'_Beardsley Aubrey.jpg,Design for the front cover of 'The Savoy: Complete in Three Volumes',Beardsley Aubrey
881,0.081656285,-1.5221454,"['1896', 'nude painting (nu)', 'Art Nouveau (Modern)', ['British Museum', ' London', ' UK'], ['British Museum', ' London', ' UK'], ['British Museum', ' London', ' UK'], 'female-portraits']",./artworks/images/Erda_Beardsley Aubrey.jpg,Erda,Beardsley Aubrey
882,-0.2485629,-1.7001307,"['1896', 'illustration', 'Art Nouveau (Modern)', ['Metropolitan Museum of Art (Met)', ' New York City', ' NY', ' US'], ['Metropolitan Museum of Art (Met)', ' New York City', ' NY', ' US'], ['Metropolitan Museum of Art (Met)', ' New York City', ' NY', ' US'], ['Metropolitan Museum of Art (Met)', ' New York City', ' NY', ' US'], 'fictional-characters']",./artworks/images/Illustration for 'The Rape of the Lock' by Alexander Pope_Beardsley Aubrey.jpg,Illustration for 'The Rape of the Lock' by Alexander Pope,Beardsley Aubrey
