,x,y,distance,source,airline
32491,-2.405679,2.911347,984.9844156652781,FLR,IB
6346,-9.937767,-9.470357,1200.652474130089,ORD,AA
48356,4.1911025,-2.0866294,1103.0440191020484,VTZ,S2
36906,29.308743,-43.67376,3397.642005873093,SJC,KL
32651,22.724018,-41.31572,2768.161557483844,LPA,IB
37575,-16.865978,20.320074,691.6065123759528,BAQ,LA
62494,12.75155,-35.84325,2145.455182487451,VNO,W2
25328,22.51672,-40.217827,2719.289788813939,MKE,FL
57818,8.362317,-33.584595,1950.7682271580256,TUL,UA
6646,-12.063255,-9.101556,1170.5636780751493,RDM,AA
55771,-11.724975,-8.010467,1156.3400696059002,ACY,UA
52362,-2.5316174,13.296212,742.588286572025,ESB,TK
56795,-8.286128,-12.234425,1263.7117426556288,IAH,UA
32381,-3.2368886,14.835101,701.1540872739412,BIO,IB
53985,16.531015,-36.935497,2301.333360799691,VRA,TS
37550,-16.614166,23.49143,649.1310680002375,AEP,LA
48195,4.561904,-1.1422683,1077.956338195818,BLR,S2
19188,5.7290483,19.719288,644.1533689786311,TNA,CZ
24253,-10.372166,-9.648193,1200.652474130089,YUL,EY
32630,0.81196076,-18.987509,1469.6046805608325,LHR,IB
6377,-6.432647,-14.734776,1343.0896596192863,PDX,AA
5140,-5.276007,-15.172459,1372.8630605503135,DCA,AA
57541,6.614173,-32.38527,1859.9636103091082,RIC,UA
32979,-3.1179988,7.0846252,893.3415363056465,VGO,IB
48589,33.21406,-46.50098,4463.664553984818,HKG,S7
40930,4.161612,25.91772,505.61001653422,CMB,MJ
37641,9.433667,-34.27831,1995.77314293956,EZE,LA
9611,5.6919036,-0.7301476,1068.0981305287535,KMG,AF
11895,22.921555,-40.713108,2768.0678132249413,SAN,AS
44638,-2.364568,3.275646,976.7260609028665,OLB,OS
52360,-2.684416,8.780295,856.9528512953121,ESB,TK
25244,-8.483735,-11.427685,1246.4232333020034,MDW,FL
17018,4.7100887,-7.8833995,1231.471871103595,TNA,CA
43967,26.207031,-41.720394,3028.4206604523524,MEX,NZ
48680,6.7630653,-24.126755,1671.6760572188814,OVB,S7
16519,5.360368,-19.794758,1534.3372232268869,KMG,CA
32328,-2.9560297,15.949272,673.1009779737425,BCN,IB
21319,-13.238907,26.375044,598.6146346609091,MLI,DL
66936,4.3453107,28.083088,447.7827190056322,JZH,ZH
32206,-2.2883956,-5.8393636,1189.1622329626973,AGP,IB
57325,-17.267134,6.148414,889.4106435334303,ORD,UA
23846,1.7039033,28.18255,433.94603789697845,LBV,ET
32291,-2.0562866,-1.739865,1093.614444344243,BCN,IB
42242,4.262583,31.10114,337.1164683966046,SHA,MU
10850,-10.473404,31.633516,505.6835283252334,AGU,AM
32439,-2.2479875,-6.2430725,1196.8184782410137,CWL,IB
66653,5.629708,3.1175573,995.2802378565043,CAN,ZH
18477,5.9405246,21.572374,607.5466729335096,FOC,CZ
59667,-13.144911,26.340693,598.9125601184202,MGM,US
16954,14.537917,-38.338516,2296.911627775976,SZX,CA
17193,6.6074305,11.984759,808.6999825505479,XMN,CA
57250,-14.158796,27.817156,584.783795730838,ONT,UA
35634,10.767979,-32.278053,1988.6120645732933,HKG,KA
56510,-2.089384,38.930023,266.9444885816067,GRK,UA
50611,-10.486074,32.266727,495.7300070374313,SJC,SQ
57319,-2.464424,38.396835,286.62458967813103,ORD,UA
13044,-1.1791762,38.79113,245.0036876563786,ATL,AZ
52690,-1.8907362,-4.607234,1162.7019658155143,KSY,TK
52673,24.045189,-40.297855,2807.7346339171268,JUB,TK
64631,-13.599142,-4.418547,1084.5929689177433,MSY,WS
17171,6.213498,3.4700103,988.1357534999472,XIY,CA
9880,-16.947735,4.8007693,909.7134603806975,PIA,AF
43204,5.243982,-20.762619,1556.063649536712,PEK,NH
25206,1.7211573,-27.250221,1686.8482892069096,MCI,FL
18618,4.5545845,-8.45843,1244.0837575675537,HSN,CZ
8003,9.069367,-34.06525,1988.5251905984135,ORD,AC
4779,3.8078852,-13.918715,1391.1220248734105,BNE,AA
16987,5.9274855,15.848782,723.1571733449769,TAO,CA
16639,6.2398996,8.975095,877.1834213427495,NKG,CA
17727,25.978603,-41.787228,3013.405141587072,SEA,CM
20681,-13.900321,25.188772,615.1989444347769,DTW,DL
56824,6.81345,-32.13374,1859.9636103091082,IAH,UA
47308,6.5026946,18.103552,673.5405578080735,BKK,QR
64875,-13.925472,-5.04454,1088.9382964057882,YYZ,WS
66831,6.025535,-22.012465,1598.5262266818463,FOC,ZH
16652,5.5382385,-1.6549581,1088.4979407839196,NNG,CA
6742,-1.912328,-23.911465,1509.6356444261417,SEA,AA
20490,-16.150705,4.6510615,913.8601575616516,CVG,DL
37626,-7.670242,-12.804403,1284.3579889788325,CUN,LA
67286,6.7869983,12.888447,788.3899155573183,TYN,ZH
21655,0.8254585,40.46339,107.06896587805193,RHI,DL
44243,1.4470257,24.375343,564.1522802266165,CHQ,OA
9030,-5.4670906,35.7827,383.5535197981502,ATL,AF
20189,-16.573284,18.010887,719.8329698416734,ATL,DL
25091,-6.2553973,-14.576457,1342.9195628748057,GEG,FL
56364,5.736643,-32.125996,1819.7552438970686,EWR,UA
8318,-16.275778,18.806768,706.9286376598799,YXE,AC
32657,1.1268203,24.868132,548.6324974283641,LYS,IB
56488,-1.6620712,39.127968,251.6273168935234,FWA,UA
57832,-9.141311,-11.313263,1240.5231912635352,TYS,UA
19386,6.274805,6.419366,924.6394547008018,XIY,CZ
20432,-8.598202,33.528393,457.80084921827876,CIU,DL
10924,-15.348414,24.1381,636.4221502156267,CUL,AM
13064,25.715832,-43.077976,3024.695274292971,AUH,AZ
16548,6.223344,4.255522,968.3409251399753,KWL,CA
20502,-10.48782,31.160433,511.10651644979976,CVG,DL
43212,6.424917,2.3137462,1006.5206021388301,PUS,NH
45643,3.2598178,30.239244,380.6524263288293,AUH,PG
67281,5.8713875,6.371545,924.6394547008018,TSN,ZH
36968,-11.068005,-9.377475,1186.843015132446,YEG,KL
66971,4.1395054,-12.692732,1357.9576379527423,KMG,ZH
42946,-16.87819,8.223463,859.0311610793252,IAD,NH
25142,-14.189073,-3.787866,1068.0322639837673,JAX,FL
13380,-2.3522842,4.539741,946.0076460631807,GOA,AZ
6928,-15.439289,19.035168,701.5800116829602,TYS,AA
46853,10.991589,-36.39934,2150.7933863491467,CXI,QF
19326,6.0048084,12.724824,792.9233570417351,WUH,CZ
9705,21.985239,-40.59262,2697.4628817813104,MAO,AF
67294,14.919887,-38.404354,2313.1532472978124,URC,ZH
34812,6.282779,15.786574,725.3264251602993,PVG,JL
33193,-1.9110084,-9.673504,1300.27191061507,NAP,IG
67295,11.987097,-34.111958,2071.4970248104228,URC,ZH
19356,5.109611,-5.6595197,1180.4833542257961,WXN,CZ
5532,-5.175901,35.948517,375.7305865774034,HPN,AA
25277,-15.6851635,20.80939,679.4401612259048,MDW,FL
61664,-11.891148,-8.243615,1158.0263834002933,ATL,VS
