,x,y,label,href,title,author
790,-0.7123637,1.8200953,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', 'fictional-characters']",./artworks/images/Birth from the Calf of the Leg_Beardsley Aubrey.jpg,Birth from the Calf of the Leg,Beardsley Aubrey
791,-0.048723903,1.8540233,"['1894', 'design', 'Art Nouveau (Modern)', 'designs-and-sketches']",./artworks/images/Book illustration_Beardsley Aubrey.jpg,Book illustration,Beardsley Aubrey
792,-0.49566218,1.7948006,"['1894', 'design', 'Art Nouveau (Modern)', 'Private Collection', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/Cover design for 'The Yellow Book'_Beardsley Aubrey.jpg,Cover design for 'The Yellow Book',Beardsley Aubrey
793,0.042687636,1.39322,"['1894', 'design', 'Art Nouveau (Modern)', ['Tate Britain', ' London', ' UK'], ['Tate Britain', ' London', ' UK'], ['Tate Britain', ' London', ' UK'], 'designs-and-sketches']","./artworks/images/Design for the Frontispiece to ""Plays"" by John Davidson_Beardsley Aubrey.jpg","Design for the Frontispiece to ""Plays"" by John Davidson",Beardsley Aubrey
794,-0.8592332,1.3915097,"['1894', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/How King Marke Found Sir Tristram_Beardsley Aubrey.jpg,How King Marke Found Sir Tristram,Beardsley Aubrey
795,0.042636584,1.3922065,"['1894', 'design', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], 'designs-and-sketches']",./artworks/images/List of Pictures_Beardsley Aubrey.jpg,List of Pictures,Beardsley Aubrey
796,0.027611217,1.3129663,"['1894', 'genre painting', 'Art Nouveau (Modern)', ['Tate Britain', ' London', ' UK'], ['Tate Britain', ' London', ' UK'], ['Tate Britain', ' London', ' UK'], 'female-portraits']",./artworks/images/Masked Woman with a White Mouse_Beardsley Aubrey.jpg,Masked Woman with a White Mouse,Beardsley Aubrey
797,-0.85846883,1.3840253,"['1894', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' King-Mark'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' King-Mark'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' King-Mark']]",./artworks/images/How King Mark and Sir Dinadan Heard Sir Palomides II_Beardsley Aubrey.jpg,How King Mark and Sir Dinadan Heard Sir Palomides II,Beardsley Aubrey
798,-0.85846883,1.3840253,"['1894', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Morgan-Le-Fay'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Morgan-Le-Fay'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""', ' Morgan-Le-Fay']]",./artworks/images/How Morgan Le Fay Gave a Shield to Sir Tristram_Beardsley Aubrey.jpg,How Morgan Le Fay Gave a Shield to Sir Tristram,Beardsley Aubrey
799,-0.048767474,1.258482,"['1894', 'illustration', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/How Queen Guenever rode on Maying I_Beardsley Aubrey.jpg,How Queen Guenever rode on Maying I,Beardsley Aubrey
800,-0.048746943,1.2584671,"['1894', 'illustration', 'Art Nouveau (Modern)', ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['Victoria and Albert Museum (V&A)', ' London', ' UK'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/How Queen Guenever rode on Maying II_Beardsley Aubrey.jpg,How Queen Guenever rode on Maying II,Beardsley Aubrey
801,-0.73305947,1.8372018,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['fictional-characters', ' Merlin', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Merlin', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Merlin', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/Merlin_Beardsley Aubrey.jpg,Merlin,Beardsley Aubrey
802,-0.8714455,1.3800561,"['1894', 'illustration', 'Art Nouveau (Modern)', ['fictional-characters', ' Merlin', ' King-Arthur', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Merlin', ' King-Arthur', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Merlin', ' King-Arthur', ' Thomas-Malory-""Le-Morte-d\'Arthur""'], ['fictional-characters', ' Merlin', ' King-Arthur', ' Thomas-Malory-""Le-Morte-d\'Arthur""']]",./artworks/images/Merlin Taketh the Child Arthur into His Keeping_Beardsley Aubrey.jpg,Merlin Taketh the Child Arthur into His Keeping,Beardsley Aubrey
803,-0.6217046,1.7505409,"['1894', 'illustration', 'Art Nouveau (Modern)', 'Private Collection', ['female-portraits', ' fictional-characters'], ['female-portraits', ' fictional-characters']]",./artworks/images/Mrs Patrick Campbell_Beardsley Aubrey.jpg,Mrs Patrick Campbell,Beardsley Aubrey
804,-0.4102148,1.8473583,"['1894', 'design', 'Art Nouveau (Modern)', 'Private Collection', 'designs-and-sketches']",./artworks/images/Original sketch for the cover of 'Salome'_Beardsley Aubrey.jpg,Original sketch for the cover of 'Salome',Beardsley Aubrey
805,-0.41021395,1.8473514,"['1894', 'design', 'Art Nouveau (Modern)', 'Private Collection', 'designs-and-sketches']",./artworks/images/Poor Folk by Dostoievsky_Beardsley Aubrey.jpg,Poor Folk by Dostoievsky,Beardsley Aubrey
