,Source,Dest,SourceID,DestID,SourceLon,DestLon,SourceLat,DestLat
7002,YYZ,PHL,193,3752,-79.63059997559999,-75.24109649658203,43.6772003174,39.87189865112305
7007,ZRH,LHR,1678,507,8.54917,-0.461941,47.464698999999996,51.4706
7061,BCN,VIE,1218,1613,2.0784599999999998,16.569700241089002,41.2971,48.110298156738004
7083,CDG,VIE,1382,1613,2.55,16.569700241089002,49.012798,48.110298156738004
7128,DFW,FRA,3670,340,-97.038002,8.570556,32.896801,50.033333
7132,DME,FRA,4029,340,37.90629959106445,8.570556,55.40879821777344,50.033333
7190,DUS,ORD,345,3830,6.766780000000001,-87.9048,51.289501,41.9786
7247,FRA,DFW,340,3670,8.570556,-97.038002,50.033333,32.896801
7248,FRA,DME,340,4029,8.570556,37.90629959106445,50.033333,55.40879821777344
7253,FRA,LHR,340,507,8.570556,-0.461941,50.033333,51.4706
7254,FRA,MAD,340,1229,8.570556,-3.56264,50.033333,40.471926
7258,FRA,VIE,340,1613,8.570556,16.569700241089002,50.033333,48.110298156738004
7393,LHR,FRA,507,340,-0.461941,8.570556,51.4706,50.033333
7396,LHR,MUC,507,346,-0.461941,11.7861,51.4706,48.353802
7400,LHR,VIE,507,1613,-0.461941,16.569700241089002,51.4706,48.110298156738004
7401,LHR,ZRH,507,1678,-0.461941,8.54917,51.4706,47.464698999999996
7415,MAD,FRA,1229,340,-3.56264,8.570556,40.471926,50.033333
7417,MAD,MUC,1229,346,-3.56264,11.7861,40.471926,48.353802
7420,MAD,ZRH,1229,1678,-3.56264,8.54917,40.471926,47.464698999999996
7455,MUC,LHR,346,507,11.7861,-0.461941,48.353802,51.4706
7457,MUC,MAD,346,1229,11.7861,-3.56264,48.353802,40.471926
7474,MUC,VIE,346,1613,11.7861,16.569700241089002,48.353802,48.110298156738004
7522,ORD,DUS,3830,345,-87.9048,6.766780000000001,41.9786,51.289501
7738,VIE,BCN,1613,1218,16.569700241089002,2.0784599999999998,48.110298156738004,41.2971
7739,VIE,CDG,1613,1382,16.569700241089002,2.55,48.110298156738004,49.012798
7747,VIE,FRA,1613,340,16.569700241089002,8.570556,48.110298156738004,50.033333
7756,VIE,LHR,1613,507,16.569700241089002,-0.461941,48.110298156738004,51.4706
7760,VIE,MUC,1613,346,16.569700241089002,11.7861,48.110298156738004,48.353802
7774,VIE,ZRH,1613,1678,16.569700241089002,8.54917,48.110298156738004,47.464698999999996
7794,ZRH,LHR,1678,507,8.54917,-0.461941,47.464698999999996,51.4706
7796,ZRH,MAD,1678,1229,8.54917,-3.56264,47.464698999999996,40.471926
7803,ZRH,VIE,1678,1613,8.54917,16.569700241089002,47.464698999999996,48.110298156738004
7815,ATL,DEN,3682,3751,-84.428101,-104.672996521,33.6367,39.861698150635
7816,ATL,YYZ,3682,193,-84.428101,-79.63059997559999,33.6367,43.6772003174
7822,BCN,YYZ,1218,193,2.0784599999999998,-79.63059997559999,41.2971,43.6772003174
7828,BKK,ICN,3885,3930,100.74700164794922,126.45099639892578,13.681099891662598,37.46910095214844
7829,BKK,NRT,3885,2279,100.74700164794922,140.386001587,13.681099891662598,35.764701843299996
7844,BRU,YYZ,302,193,4.48443984985,-79.63059997559999,50.9014015198,43.6772003174
